[2024-10-08T23:35:10.784+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:10 INFO: Page 94 retrieved with 50 records.
[2024-10-08T23:35:11.318+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:11 INFO: Page 95 retrieved with 50 records.
[2024-10-08T23:35:11.423+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:11 INFO: Page 96 retrieved with 50 records.
[2024-10-08T23:35:11.535+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:11 INFO: Page 97 retrieved with 50 records.
[2024-10-08T23:35:11.636+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:11 INFO: Page 98 retrieved with 50 records.
[2024-10-08T23:35:12.048+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:12 INFO: Page 99 retrieved with 50 records.
[2024-10-08T23:35:12.132+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:12 INFO: Page 100 retrieved with 50 records.
[2024-10-08T23:35:12.544+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:12 INFO: Page 101 retrieved with 50 records.
[2024-10-08T23:35:12.952+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:12 INFO: Page 102 retrieved with 50 records.
[2024-10-08T23:35:13.034+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:13 INFO: Page 103 retrieved with 50 records.
[2024-10-08T23:35:13.438+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:13 INFO: Page 104 retrieved with 50 records.
[2024-10-08T23:35:13.515+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:13 INFO: Page 105 retrieved with 50 records.
[2024-10-08T23:35:13.603+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:13 INFO: Page 106 retrieved with 50 records.
[2024-10-08T23:35:14.011+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:14 INFO: Page 107 retrieved with 50 records.
[2024-10-08T23:35:14.427+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:14 INFO: Page 108 retrieved with 50 records.
